Date,Debt ceiling,Table of historical debt ceiling levels[24] 2_link_data,Table of historical debt ceiling levels[24] 3_link_data,Table of historical debt ceiling levels[24] 4_link_data
"June 25, 1940",49,"{""49[25]"",{},{ web(""https://en.wikipedia.org/wiki/#cite_note-25"")}}",Empty(),Empty()
"February 19, 1941",65,65,"""+16""",Empty()
"March 28, 1942",125,125,"""+60""",Empty()
"April 11, 1943",210,210,"""+85""",Empty()
"June 9, 1944",260,260,"""+50""",Empty()
"April 3, 1945",300,300,"""+40""",Empty()
"June 26, 1946",275,275,−25,Empty()
"August 28, 1954",281,281,"""+6""",Empty()
"July 9, 1956",275,275,−6,Empty()
"February 26, 1958",280,280,"""+5""",Empty()
"September 2, 1958",288,288,"""+8""",Empty()
"June 30, 1959",295,295,"""+7""",Empty()
"June 30, 1960",293,293,−2,Empty()
"June 30, 1961",298,"{""298[26]"",{},{ web(""https://en.wikipedia.org/wiki/#cite_note-26"")}}","""+5""",Empty()
"July 1, 1962",308,308,"""+10""",Empty()
"March 31, 1963",305,305,−3,Empty()
"June 25, 1963",300,300,−5,Empty()
"June 30, 1963",307,307,"""+7""",Empty()
"August 31, 1963",309,309,"""+2""",Empty()
"November 26, 1963",315,315,"""+6""",Empty()
"June 29, 1964",324,324,"""+9""",Empty()
"June 24, 1965",328,328,"""+4""",Empty()
"June 24, 1966",330,330,"""+2""",Empty()
"March 2, 1967",336,336,"""+6""",Empty()
"June 30, 1967",358,358,"""+22""",Empty()
"June 1, 1968",365,365,"""+7""",Empty()
"April 7, 1969",377,377,"""+12""",Empty()
"June 30, 1970",395,395,"""+18""",Empty()
"March 17, 1971",430,430,"""+35""",Empty()
"March 15, 1972",450,"{""450[27]"",{},{ web(""https://en.wikipedia.org/wiki/#cite_note-27"")}}","""+20""",Empty()
"October 27, 1972",465,465,"""+15""",Empty()
"June 30, 1974",495,495,"""+30""",Empty()
"February 19, 1975",577,577,"""+82""",Empty()
"November 14, 1975",595,595,"""+18""",Empty()
"March 15, 1976",627,627,"""+32""",Empty()
"June 30, 1976",636,636,"""+9""",Empty()
"September 30, 1976",682,682,"""+46""",Empty()
"April 1, 1977",700,700,"""+18""",Empty()
"October 4, 1977",752,752,"""+52""",Empty()
"August 3, 1978",798,798,"""+46""",Empty()
"April 2, 1979",830,830,"""+32""",Empty()
"September 29, 1979",879,"{""879[28]"",{},{ web(""https://en.wikipedia.org/wiki/#cite_note-28"")}}","""+49""",Empty()
"June 28, 1980",925,925,"""+46""",Empty()
"December 19, 1980",935,935,"""+10""",Empty()
"February 7, 1981",985,985,"""+50""",Empty()
"September 30, 1981",1079,"""1,079""","""+94""",Empty()
"June 28, 1982",1143,"""1,143""","""+64""",Empty()
"September 30, 1982",1290,"""1,290""","""+147""",Empty()
"May 26, 1983",1389,"""1,389""","""+99""","{""Pub.L. 98–34"",{},{ web(""https://en.wikipedia.org/wiki/Public_Law_(United_States)""), web(""https://uslaw.link/citation/us-law/public/98/34"")}}"
"November 21, 1983",1490,"""1,490""","""+101""","{""Pub.L. 98–161"",{},{ web(""https://en.wikipedia.org/wiki/Public_Law_(United_States)""), web(""https://uslaw.link/citation/us-law/public/98/161"")}}"
"May 25, 1984",1520,"""1,520""","""+30""",Empty()
"June 6, 1984",1573,"""1,573""","""+53""","{""Pub.L. 98–342"",{},{ web(""https://en.wikipedia.org/wiki/Public_Law_(United_States)""), web(""https://uslaw.link/citation/us-law/public/98/342"")}}"
"October 13, 1984",1823,"""1,823""","""+250""","{""Pub.L. 98–475"",{},{ web(""https://en.wikipedia.org/wiki/Public_Law_(United_States)""), web(""https://uslaw.link/citation/us-law/public/98/475"")}}"
"November 14, 1985",1904,"""1,904""","""+81""",Empty()
